,ID,NAME,PRICE-18/08/2023,URL
0,ABSA,Absa Bank Kenya Plc,11.95,https://afx.kwayisi.org/nse/absa.html
1,ARM,ARM Cement Limited,5.55,https://afx.kwayisi.org/nse/arm.html
2,BAMB,Bamburi Cement Limited,25.40,https://afx.kwayisi.org/nse/bamb.html
3,BAT,British American Tobacco Kenya,425.00,https://afx.kwayisi.org/nse/bat.html
4,BKG,BK Group Plc,36.00,https://afx.kwayisi.org/nse/bkg.html
5,BOC,BOC Kenya Limited,73.00,https://afx.kwayisi.org/nse/boc.html
6,BRIT,Britam Holdings Limited,4.98,https://afx.kwayisi.org/nse/brit.html
7,CABL,East African Cables Limited,0.94,https://afx.kwayisi.org/nse/cabl.html
8,CARB,Carbacid Investments Limited,16.50,https://afx.kwayisi.org/nse/carb.html
9,CGEN,Car and General Kenya Limited,40.00,https://afx.kwayisi.org/nse/cgen.html
10,CIC,CIC Insurance Group Limited,2.00,https://afx.kwayisi.org/nse/cic.html
11,COOP,Co-operative Bank of Kenya Limited,11.50,https://afx.kwayisi.org/nse/coop.html
12,CRWN,Crown Paints Kenya Limited,39.70,https://afx.kwayisi.org/nse/crwn.html
13,CTUM,Centum Investment Company,8.80,https://afx.kwayisi.org/nse/ctum.html
14,DCON,Deacons East Africa Plc,0.45,https://afx.kwayisi.org/nse/dcon.html
15,DTK,Diamond Trust Bank Kenya Limited,47.00,https://afx.kwayisi.org/nse/dtk.html
16,EABL,East African Breweries Limited,135.00,https://afx.kwayisi.org/nse/eabl.html
17,EGAD,Eaagads Limited,14.00,https://afx.kwayisi.org/nse/egad.html
18,EQTY,Equity Group Holdings Limited,40.50,https://afx.kwayisi.org/nse/eqty.html
19,EVRD,Eveready East Africa Limited,1.25,https://afx.kwayisi.org/nse/evrd.html
20,FAHR,ILAM Fahari I-REIT,6.10,https://afx.kwayisi.org/nse/fahr.html
21,FTGH,Flame Tree Group Holdings Limited,1.30,https://afx.kwayisi.org/nse/ftgh.html
22,GLD,Absa NewGold ETF,"2,525.00",https://afx.kwayisi.org/nse/gld.html
23,HAFR,Home Afrika Limited,0.33,https://afx.kwayisi.org/nse/hafr.html
24,HBE,Homeboyz Entertainment,4.66,https://afx.kwayisi.org/nse/hbe.html
25,HFCK,HF Group Limited,4.99,https://afx.kwayisi.org/nse/hfck.html
26,IMH,I&M Holdings Plc,18.50,https://afx.kwayisi.org/nse/imh.html
27,JUB,Jubilee Holdings Limited,179.00,https://afx.kwayisi.org/nse/jub.html
28,KAPC,Kapchorua Tea Company Limited,225.00,https://afx.kwayisi.org/nse/kapc.html
29,KCB,KCB Group Limited,27.55,https://afx.kwayisi.org/nse/kcb.html
30,KEGN,KenGen Plc,2.32,https://afx.kwayisi.org/nse/kegn.html
31,KNRE,Kenya Re-Insurance Corporation Ltd,1.80,https://afx.kwayisi.org/nse/knre.html
32,KPLC,Kenya Power & Lighting Company,1.49,https://afx.kwayisi.org/nse/kplc.html
33,KPLC-P4,Kenya Power 4% Preference Shares,4.11,https://afx.kwayisi.org/nse/kplc-p4.html
34,KPLC-P7,Kenya Power 7% Preference Shares,6.00,https://afx.kwayisi.org/nse/kplc-p7.html
35,KQ,Kenya Airways Limited,3.83,https://afx.kwayisi.org/nse/kq.html
36,KUKZ,Kakuzi Limited,403.50,https://afx.kwayisi.org/nse/kukz.html
37,KURV,Kurwitu Ventures Limited,"1,500.00",https://afx.kwayisi.org/nse/kurv.html
38,LAPR,Laptrust Imara Income-REIT,20.00,https://afx.kwayisi.org/nse/lapr.html
39,LBTY,Liberty Kenya Holdings Limited,3.97,https://afx.kwayisi.org/nse/lbty.html
40,LIMT,Limuru Tea Company Limited,430.00,https://afx.kwayisi.org/nse/limt.html
41,LKL,Longhorn Publishers Limited,2.68,https://afx.kwayisi.org/nse/lkl.html
42,MSC,Mumias Sugar Company Limited,0.28,https://afx.kwayisi.org/nse/msc.html
43,NBV,Nairobi Business Ventures Ltd,3.27,https://afx.kwayisi.org/nse/nbv.html
44,NCBA,NCBA Group Plc,38.55,https://afx.kwayisi.org/nse/ncba.html
45,NMG,Nation Media Group,20.00,https://afx.kwayisi.org/nse/nmg.html
46,NSE,Nairobi Securities Exchange Limited,6.16,https://afx.kwayisi.org/nse/nse.html
47,OCH,Olympia Capital Holdings Limited,3.25,https://afx.kwayisi.org/nse/och.html
48,ORCH,Kenya Orchards Limited,16.45,https://afx.kwayisi.org/nse/orch.html
49,PORT,East African Portland Cement Co. Ltd,7.00,https://afx.kwayisi.org/nse/port.html
50,SASN,Sasini Tea and Coffee Limited,26.00,https://afx.kwayisi.org/nse/sasn.html
51,SBIC,Stanbic Holdings Limited,120.00,https://afx.kwayisi.org/nse/sbic.html
52,SCAN,ScanGroup Limited,2.76,https://afx.kwayisi.org/nse/scan.html
53,SCBK,Standard Chartered Bank Limited,147.00,https://afx.kwayisi.org/nse/scbk.html
54,SCOM,Safaricom Plc,15.95,https://afx.kwayisi.org/nse/scom.html
55,SGL,Standard Group Limited,8.34,https://afx.kwayisi.org/nse/sgl.html
56,SLAM,Sanlam Kenya Plc,8.00,https://afx.kwayisi.org/nse/slam.html
57,SMER,Sameer Africa Plc,2.18,https://afx.kwayisi.org/nse/smer.html
58,TCL,Trans Century Limited,0.56,https://afx.kwayisi.org/nse/tcl.html
59,TOTL,Total Kenya Limited,18.05,https://afx.kwayisi.org/nse/totl.html
60,TPSE,TPS Eastern Africa Serena Limited,11.50,https://afx.kwayisi.org/nse/tpse.html
61,UCHM,Uchumi Supermarket Limited,0.19,https://afx.kwayisi.org/nse/uchm.html
62,UMME,Umeme Limited,14.05,https://afx.kwayisi.org/nse/umme.html
63,UNGA,Unga Group Limited,18.00,https://afx.kwayisi.org/nse/unga.html
64,WTK,Williamson Tea Kenya Limited,250.00,https://afx.kwayisi.org/nse/wtk.html
65,XPRS,Express Kenya Limited,3.96,https://afx.kwayisi.org/nse/xprs.html
