Date,hfck,sbic,scbk,cic,imh,bkg,ncba,eqty,kcb,ctum,coop,brit,absa,Share_Price
2013-08-15,25.25,72.0,301.0,4.85,90.0,,57.0,34.75,44.25,25.5,16.6,8.0,17.7,25.25
2013-08-16,25.25,72.0,295.0,4.9,90.0,,58.0,35.0,45.0,25.75,16.5,8.0,17.7,25.25
2013-08-19,25.5,72.0,294.0,4.9,90.0,,58.0,35.25,44.75,25.25,16.6,8.1,17.6,25.5
2013-08-20,25.25,71.5,296.0,4.85,88.5,,57.0,34.75,44.75,25.0,16.55,8.15,17.55,25.25
2013-08-21,25.25,72.5,295.0,4.95,88.0,,57.5,34.75,44.75,25.5,16.55,8.15,17.45,25.25
2013-08-22,25.25,72.5,294.0,4.9,89.5,,57.0,34.5,44.75,25.25,16.5,8.2,17.5,25.25
2013-08-23,25.0,72.0,294.0,4.9,88.0,,57.5,34.25,45.0,25.25,16.4,8.2,17.45,25.0
2013-08-26,25.25,72.0,294.0,4.85,88.0,,57.5,34.5,44.75,25.0,16.15,8.25,17.45,25.25
2013-08-27,25.0,72.0,292.0,4.8,86.0,,57.5,34.0,44.5,23.5,16.15,8.05,17.5,25.0
2013-08-28,24.5,71.5,292.0,4.7,85.0,,57.5,33.25,43.0,23.25,16.0,7.9,17.45,24.5
2013-08-29,24.5,68.5,292.0,4.7,88.5,,57.5,32.75,42.75,24.0,16.15,8.0,17.3,24.5
2013-08-30,24.0,68.5,294.0,4.7,85.0,,57.0,32.5,42.0,24.25,16.05,8.15,17.05,24.0
2013-09-02,24.0,69.0,292.0,4.55,85.0,,57.5,32.75,42.0,23.5,15.95,8.15,17.1,24.0
2013-09-03,24.25,68.0,293.0,4.5,85.0,,57.5,33.75,42.25,23.75,15.75,8.1,17.05,24.25
2013-09-04,24.5,69.0,296.0,4.6,85.0,,58.0,34.25,43.0,23.75,15.95,8.25,17.05,24.5
2013-09-05,24.75,70.5,295.0,4.55,85.0,,58.5,34.25,45.0,24.0,16.0,8.25,17.25,24.75
2013-09-06,25.0,71.5,294.0,4.55,90.0,,58.5,33.5,45.0,24.0,16.05,8.25,17.25,25.0
2013-09-09,25.0,70.5,295.0,4.45,90.0,,58.0,33.25,45.0,23.5,16.0,8.2,17.15,25.0
2013-09-10,25.0,70.5,295.0,4.45,90.0,,58.0,33.5,44.75,23.75,15.95,8.15,16.75,25.0
2013-09-11,25.25,70.5,295.0,4.45,90.0,,58.0,33.25,44.25,24.25,16.1,8.0,17.0,25.25
2013-09-12,25.0,70.0,296.0,4.6,90.0,,58.5,33.25,44.0,24.5,16.0,8.0,17.05,25.0
2013-09-13,25.0,70.0,299.0,4.55,90.0,,58.0,33.25,44.0,24.5,16.15,8.0,17.05,25.0
2013-09-16,24.75,70.0,295.0,4.6,90.0,,57.0,33.25,44.25,24.5,16.0,8.05,17.0,24.75
2013-09-17,25.0,70.0,298.0,4.6,90.0,,57.0,33.5,44.75,24.0,16.0,8.0,17.0,25.0
2013-09-18,25.0,69.5,299.0,4.6,90.0,,57.0,33.25,44.5,24.0,16.1,8.05,17.05,25.0
2013-09-19,25.0,70.5,295.0,4.6,91.5,,57.0,33.5,45.0,25.5,16.1,8.1,17.1,25.0
2013-09-20,25.0,70.0,299.0,4.55,92.5,,57.5,33.75,45.0,27.5,16.2,8.15,17.0,25.0
2013-09-23,25.25,70.5,301.0,4.5,92.0,,57.5,34.25,44.75,25.75,16.3,8.1,17.05,25.25
2013-09-24,25.25,70.5,300.0,4.55,95.0,,58.0,34.25,45.0,25.5,16.15,8.0,17.0,25.25
2013-09-25,25.5,70.5,301.0,4.55,98.0,,58.0,34.0,46.0,25.75,16.1,8.1,17.05,25.5
2013-09-26,25.25,71.5,296.0,4.55,100.0,,58.0,34.25,46.5,26.25,16.1,8.05,17.05,25.25
2013-09-27,25.25,71.5,299.0,4.5,101.0,,58.0,34.25,46.5,26.5,16.15,8.05,17.05,25.25
2013-09-30,25.0,72.5,302.0,4.55,103.0,,59.0,34.0,46.5,27.0,16.2,8.1,17.05,25.0
2013-10-02,24.75,72.5,300.0,4.65,100.0,,58.0,33.75,46.5,26.5,16.2,8.25,17.15,24.75
2013-10-03,25.0,73.5,300.0,4.6,100.0,,57.0,33.75,46.5,26.75,16.25,8.4,17.25,25.0
2013-10-04,25.25,74.5,305.0,4.65,102.0,,57.5,34.25,47.0,27.0,16.45,8.7,17.3,25.25
2013-10-07,26.0,77.0,303.0,4.7,102.0,,58.0,35.5,48.75,27.0,16.6,8.95,17.35,26.0
2013-10-08,26.5,80.0,305.0,4.7,102.0,,58.0,37.25,49.75,27.25,17.0,9.05,17.65,26.5
2013-10-09,26.5,81.0,304.0,4.75,102.0,,59.0,36.25,49.25,27.75,17.1,9.45,18.0,26.5
2013-10-10,26.5,79.5,301.0,4.75,101.0,,59.0,36.25,49.25,28.0,17.1,9.45,18.1,26.5
2013-10-11,26.0,78.5,301.0,4.75,102.0,,58.5,36.25,48.5,28.5,17.1,9.5,18.15,26.0
2013-10-14,26.0,78.5,303.0,4.7,102.0,,59.0,36.25,48.0,28.0,17.15,9.45,18.35,26.0
2013-10-15,25.5,76.0,304.0,4.7,102.0,,59.0,36.0,47.25,27.75,17.15,9.9,18.4,25.5
2013-10-16,26.5,75.5,303.0,4.75,100.0,,58.5,35.75,47.75,28.25,17.1,10.1,18.3,26.5
2013-10-17,26.5,75.5,303.0,4.75,102.0,,59.0,35.75,48.25,28.5,17.15,9.95,18.4,26.5
2013-10-18,26.5,78.0,304.0,4.7,102.0,,59.0,35.75,49.0,28.75,17.3,9.95,18.45,26.5
2013-10-22,26.25,76.0,304.0,4.7,104.0,,59.0,35.5,49.5,28.5,17.3,10.1,18.5,26.25
2013-10-23,26.25,77.5,304.0,4.65,104.0,,59.0,35.0,49.5,28.5,17.3,10.1,18.5,26.25
2013-10-24,26.25,77.0,304.0,4.6,103.0,,59.0,35.0,49.5,28.25,17.3,10.15,18.55,26.25
