ID,NAME,PRICE-01/08/2023,INTRA18,INTRA20
ABSA,Absa Bank Kenya Plc,12.40,12.30,12.30
ARM,ARM Cement Limited,5.55,5.55,5.55
BAMB,Bamburi Cement Limited,25.05,25.15,25.15
BAT,British American Tobacco Kenya,418.25,420.00,420.00
BKG,BK Group Plc,33.00,33.00,33.00
BOC,BOC Kenya Limited,72.00,72.00,72.00
BRIT,Britam Holdings Limited,4.62,4.80,4.80
CABL,East African Cables Limited,0.95,0.95,0.95
CARB,Carbacid Investments Limited,16.95,17.00,17.00
CGEN,Car and General Kenya Limited,28.10,28.10,28.10
CIC,CIC Insurance Group Limited,2.10,2.20,2.20
COOP,Co-operative Bank of Kenya Limited,11.95,11.95,11.95
CRWN,Crown Paints Kenya Limited,42.00,42.00,42.00
CTUM,Centum Investment Company,8.14,8.60,8.60
DCON,Deacons East Africa Plc,0.45,0.45,0.45
DTK,Diamond Trust Bank Kenya Limited,47.70,47.70,47.70
EABL,East African Breweries Limited,141.00,141.25,141.25
EGAD,Eaagads Limited,14.00,14.00,14.00
EQTY,Equity Group Holdings Limited,41.00,41.50,41.50
EVRD,Eveready East Africa Limited,1.60,1.63,1.63
FAHR,ILAM Fahari I-REIT,6.02,6.26,6.26
FTGH,Flame Tree Group Holdings Limited,1.26,1.26,1.26
GLD,Absa NewGold ETF,"2,530.00","2,530.00","2,530.00"
HAFR,Home Afrika Limited,0.30,0.33,0.33
HBE,Homeboyz Entertainment,4.66,4.66,4.66
HFCK,HF Group Limited,4.78,4.50,4.50
IMH,I&M Holdings Plc,19.00,18.95,18.95
JUB,Jubilee Holdings Limited,185.00,184.00,184.00
KAPC,Kapchorua Tea Company Limited,210.00,210.00,210.00
KCB,KCB Group Limited,28.50,28.50,28.50
KEGN,KenGen Plc,2.30,2.37,2.37
KNRE,Kenya Re-Insurance Corporation Ltd,1.84,1.88,1.88
KPLC,Kenya Power & Lighting Company,1.56,1.53,1.53
KPLC-P4,Kenya Power 4% Preference Shares,4.11,4.11,4.11
KPLC-P7,Kenya Power 7% Preference Shares,6.00,6.00,6.00
KQ,Kenya Airways Limited,3.83,3.83,3.83
KUKZ,Kakuzi Limited,382.00,382.00,382.00
KURV,Kurwitu Ventures Limited,"1,500.00","1,500.00","1,500.00"
LAPR,Laptrust Imara Income-REIT,20.00,20.00,20.00
LBTY,Liberty Kenya Holdings Limited,3.90,3.90,3.90
LIMT,Limuru Tea Company Limited,420.00,420.00,420.00
LKL,Longhorn Publishers Limited,2.10,2.10,2.10
MSC,Mumias Sugar Company Limited,0.28,0.28,0.28
NBV,Nairobi Business Ventures Ltd,3.11,3.40,3.40
NCBA,NCBA Group Plc,38.55,38.25,38.25
NMG,Nation Media Group,20.00,20.00,20.00
NSE,Nairobi Securities Exchange Limited,6.46,6.18,6.18
OCH,Olympia Capital Holdings Limited,5.00,5.00,5.00
ORCH,Kenya Orchards Limited,15.00,15.00,15.00
PORT,East African Portland Cement Co. Ltd,7.16,7.16,7.16
SASN,Sasini Tea and Coffee Limited,24.50,24.50,24.50
SBIC,Stanbic Holdings Limited,120.00,122.00,122.00
SCAN,ScanGroup Limited,3.00,2.97,2.97
SCBK,Standard Chartered Bank Limited,165.00,164.75,164.75
SCOM,Safaricom Plc,17.00,17.35,17.35
SGL,Standard Group Limited,8.10,8.20,8.20
SLAM,Sanlam Kenya Plc,7.52,7.52,7.52
SMER,Sameer Africa Plc,2.50,2.61,2.61
TCL,Trans Century Limited,0.60,0.59,0.59
TOTL,Total Kenya Limited,19.50,19.15,19.15
TPSE,TPS Eastern Africa Serena Limited,11.80,11.80,11.80
UCHM,Uchumi Supermarket Limited,0.23,0.22,0.22
UMME,Umeme Limited,13.95,13.95,13.95
UNGA,Unga Group Limited,15.65,15.65,15.65
WTK,Williamson Tea Kenya Limited,239.25,242.00,242.00
XPRS,Express Kenya Limited,3.83,3.83,3.83
