Unnamed: 0,ID,NAME,PRICE-18/08/2023,INTRA9,INTRA10,INTRA11,INTRA12,INTRA13,INTRA14,INTRA15,INTRA16
0,ABSA,Absa Bank Kenya Plc,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95
1,ARM,ARM Cement Limited,5.55,5.55,5.55,5.55,5.55,5.55,5.55,5.55,5.55
2,BAMB,Bamburi Cement Limited,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00
3,BAT,British American Tobacco Kenya,425.00,425.00,425.00,425.00,425.00,425.00,425.00,425.00,425.00
4,BKG,BK Group Plc,36.00,36.00,36.00,36.00,36.00,36.00,36.00,36.00,36.00
5,BOC,BOC Kenya Limited,73.00,73.00,73.00,73.00,73.00,73.00,73.00,73.00,73.00
6,BRIT,Britam Holdings Limited,4.98,4.98,4.98,4.98,4.98,4.98,4.98,4.98,4.98
7,CABL,East African Cables Limited,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94
8,CARB,Carbacid Investments Limited,16.50,16.50,16.50,16.50,16.50,16.50,16.50,16.50,16.50
9,CGEN,Car and General Kenya Limited,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00
10,CIC,CIC Insurance Group Limited,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00
11,COOP,Co-operative Bank of Kenya Limited,11.60,11.60,11.60,11.60,11.60,11.60,11.60,11.60,11.60
12,CRWN,Crown Paints Kenya Limited,39.70,39.70,39.70,39.70,39.70,39.70,39.70,39.70,39.70
13,CTUM,Centum Investment Company,8.80,8.80,8.80,8.80,8.80,8.80,8.80,8.80,8.80
14,DCON,Deacons East Africa Plc,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45
15,DTK,Diamond Trust Bank Kenya Limited,47.00,47.00,47.00,47.00,47.00,47.00,47.00,47.00,47.00
16,EABL,East African Breweries Limited,125.00,125.00,125.00,125.00,125.00,125.00,125.00,125.00,125.00
